Model,Capability,Contexts,Mean Ratio,Std Ratio,Min Ratio,Max Ratio,Ratios > 1.0,Ratios < 0.9
Qwen2.5-7B-Instruct,Hallucination,5,1.0000316455088791,0.007955816960638717,0.987500011920929,1.0126582156234667,1,0
Qwen2.5-7B-Instruct,Refusal,5,0.9535429204172138,0.05760412791064498,0.8630137022093237,1.0405405013556028,1,1
Qwen2.5-7B-Instruct,Persuasion,5,0.9217723997363152,0.060294609264999646,0.8461538132360944,1.0263158274489432,1,2
Qwen2.5-7B-Instruct,Sycophancy,5,0.9848101171081867,0.020253172159160046,0.9620252927704667,1.0126582156234667,1,0
Qwen2.5-7B-Instruct,Pessimism,5,0.9871761340593913,0.00821630982867966,0.9740259159996628,1.0,0,0
Qwen2.5-7B-Instruct,Truthfulness,5,0.9554280282689531,0.018058987907743653,0.9315068511046618,0.9857142993382045,0,0
Llama-2-13b-chat-hf,Hallucination,5,1.0,0.0,1.0,1.0,0,0
Llama-2-13b-chat-hf,Refusal,5,0.9669437288453839,0.013282923544928112,0.9480519375967569,0.9866666793823242,0,0
Llama-2-13b-chat-hf,Persuasion,5,0.9113485770482029,0.03806802948099353,0.8461538132360944,0.9615384380257818,0,2
Llama-2-13b-chat-hf,Sycophancy,5,0.9723684235292789,0.03651880049801957,0.8999999761581421,1.0,0,1
Llama-2-13b-chat-hf,Pessimism,5,0.9768538875240871,0.016969655623388757,0.9487179377453648,1.0,0,0
Llama-2-13b-chat-hf,Truthfulness,5,0.9151956158450114,0.02901845624487341,0.8717948749298958,0.9545454972374873,0,2
